publishedAt,title,description
2021-10-22,宋城演艺：第三季度净利5420万元 同比下降42% 盈利能力下降,宋城演艺：第三季度净利5420万元 同比下降42% 盈利能力下降
2021-10-22,宋城演艺：前三季度净利润同比增长223.38%,宋城演艺：前三季度净利润同比增长223.38%
2021-10-23,Wind风控日报2021年10月23日星期六,Wind风控日报2021年10月23日星期六
2021-10-24,【国信社服|三季报点评】宋城演艺：三季度盈利好于预期，费控及花房表现出色,【国信社服|三季报点评】宋城演艺：三季度盈利好于预期，费控及花房表现出色
2021-10-25,万联证券维持宋城演艺增持评级，点评报告：疫情冲击影响短期复苏节奏，长期依然向好,万联证券维持宋城演艺增持评级，点评报告：疫情冲击影响短期复苏节奏，长期依然向好
2021-10-25,宋城演艺(300144)：疫情反复导致多景区闭园 业绩恢复受阻,宋城演艺(300144)：疫情反复导致多景区闭园 业绩恢复受阻
2021-10-25,国信证券：中长期社服板块中推荐海底捞等龙头,国信证券：中长期社服板块中推荐海底捞等龙头
2021-10-25,宋城演艺：今年前三季度营收10.16亿元，净利同比增长223.38%,宋城演艺：今年前三季度营收10.16亿元，净利同比增长223.38%
2021-10-25,国信证券维持宋城演艺买入评级，2021年三季报点评：三季度实现盈利好于预期费控及花房表现出色,国信证券维持宋城演艺买入评级，2021年三季报点评：三季度实现盈利好于预期费控及花房表现出色
2021-10-25,国信证券：给予宋城演艺买入评级,国信证券：给予宋城演艺买入评级
2021-10-25,宋城演艺(300144)：疫情反复影响暑期复苏 等待积极信号和团队游回归,宋城演艺(300144)：疫情反复影响暑期复苏 等待积极信号和团队游回归
2021-10-25,宋城演艺前三季度归母净利润4.3亿元，同比增长223.4%,宋城演艺前三季度归母净利润4.3亿元，同比增长223.4%
2021-10-25,【华创商社】宋城演艺（300144）2021年三季报点评：疫情反复，精细运营,【华创商社】宋城演艺（300144）2021年三季报点评：疫情反复，精细运营
2021-10-26,花房集团赴港上市：运营花椒和六间房 周鸿祎和宋城演艺为两大股东,花房集团赴港上市：运营花椒和六间房 周鸿祎和宋城演艺为两大股东
2021-10-26,周鸿祎又一IPO：花房集团来迟了？,周鸿祎又一IPO：花房集团来迟了？
2021-10-26,业绩快报 | 旅游旺季遇冷，宋城演艺三季度营收同比下降42.29%,业绩快报 | 旅游旺季遇冷，宋城演艺三季度营收同比下降42.29%
2021-10-26,山西证券：给予宋城演艺增持评级,山西证券：给予宋城演艺增持评级
2021-10-26,花椒母公司冲刺港股：前8个月营收近30亿 周鸿祎为大股东,花椒母公司冲刺港股：前8个月营收近30亿 周鸿祎为大股东
2021-10-26,【东吴社服 | 宋城演艺】21Q3业绩点评：暑期旺季直面疫情冲击，关注旅游市场复苏进程,【东吴社服 | 宋城演艺】21Q3业绩点评：暑期旺季直面疫情冲击，关注旅游市场复苏进程
2021-10-26,中银证券维持宋城演艺买入评级：疫情扰动Q3业绩，主业优化升级或迎新增量,中银证券维持宋城演艺买入评级：疫情扰动Q3业绩，主业优化升级或迎新增量
2021-10-26,港股IPO | 周鸿祎背书的花房集团递表 宋城演艺为其第二大股东,港股IPO | 周鸿祎背书的花房集团递表 宋城演艺为其第二大股东
2021-10-26,花房集团递交港股IPO申请：今年前8个月盈利2.32亿元 注册用户3.72亿,花房集团递交港股IPO申请：今年前8个月盈利2.32亿元 注册用户3.72亿
2021-10-27,顶流来了！谢治宇、朱少醒、周蔚文、刘彦春等最新持股大曝光,顶流来了！谢治宇、朱少醒、周蔚文、刘彦春等最新持股大曝光
2021-10-27,“红衣教主”周鸿祎有望再斩获一个IPO,“红衣教主”周鸿祎有望再斩获一个IPO
2021-10-27,东方证券维持宋城演艺买入评级，宋城演艺2021年三季报点评：疫情反复影响业绩复苏，经营韧性显现,东方证券维持宋城演艺买入评级，宋城演艺2021年三季报点评：疫情反复影响业绩复苏，经营韧性显现
2021-10-28,被遗忘的六间房和花椒,被遗忘的六间房和花椒
2021-10-28,娱乐直播下行，周鸿祎的花房上市来迟,娱乐直播下行，周鸿祎的花房上市来迟
2021-10-28,周鸿祎旗下花椒直播IPO：去年净亏15亿主播成本19.6亿，前五大用户共打赏1.7亿 亏损,周鸿祎旗下花椒直播IPO：去年净亏15亿主播成本19.6亿，前五大用户共打赏1.7亿 亏损
2021-10-28,花椒直播母公司拟赴港上市 周鸿祎为第一大股东,花椒直播母公司拟赴港上市 周鸿祎为第一大股东
2021-10-28,周鸿祎将迎来自己的第四个IPO，但是又“赶了个晚集”？,周鸿祎将迎来自己的第四个IPO，但是又“赶了个晚集”？
2021-10-29,深度分析！海昌65亿转让旗下多家主题公园股权 轻资产化战略或将为可行之路？,深度分析！海昌65亿转让旗下多家主题公园股权 轻资产化战略或将为可行之路？
2021-10-29,狂买“小而美”，抛售“大白马”！百亿基金新增重仓股曝光,狂买“小而美”，抛售“大白马”！百亿基金新增重仓股曝光
2021-11-01,民生证券给予宋城演艺推荐评级，宋城演艺2021Q3季报点评，近期获11份券商研报关注，目标均价涨幅26.5%,民生证券给予宋城演艺推荐评级，宋城演艺2021Q3季报点评，近期获11份券商研报关注，目标均价涨幅26.5%
2021-11-01,安信证券给予宋城演艺买入评级：Q3景区受疫情影响承压，国庆客流恢复良好，目标价18.2元,安信证券给予宋城演艺买入评级：Q3景区受疫情影响承压，国庆客流恢复良好，目标价18.2元
2021-11-01,安信证券：给予宋城演艺买入评级，目标价位18.2元,安信证券：给予宋城演艺买入评级，目标价位18.2元
2021-11-03,中信证券：疫情扰动修复非线性，推荐关注港股休闲服务相关标的,中信证券：疫情扰动修复非线性，推荐关注港股休闲服务相关标的
2021-11-04,国内旅游回暖明显，这个主题游先火了,国内旅游回暖明显，这个主题游先火了
2021-11-05,宋城演艺：露天版宋城千古情今年暑期已在杭州上演，未来各地是否推出露天版演出将充分结合实际和市场需求,宋城演艺：露天版宋城千古情今年暑期已在杭州上演，未来各地是否推出露天版演出将充分结合实际和市场需求
2021-11-05,宋城演艺：上海项目属于开业首年的阶段性整改提升，将于明年春季全新亮相,宋城演艺：上海项目属于开业首年的阶段性整改提升，将于明年春季全新亮相
2021-11-05,宋城演艺：源自散客的收入已基本恢复至2019年同期水平,宋城演艺：源自散客的收入已基本恢复至2019年同期水平
2021-11-05,2022年中国主题公园行业发展现状与国外对比分析 国内主题公园差距几何？,2022年中国主题公园行业发展现状与国外对比分析 国内主题公园差距几何？
2021-11-07,【国信社服|11月策略】跟踪行业复苏节奏，跨年度配置优质龙头,【国信社服|11月策略】跟踪行业复苏节奏，跨年度配置优质龙头
2021-11-07,国信证券：跟踪行业复苏节奏，跨年度配置优质龙头,国信证券：跟踪行业复苏节奏，跨年度配置优质龙头
2021-11-08,社会服务行业2021年三季报综述：Q3以来行业整体承压 继续看好龙头中长期配置价值,社会服务行业2021年三季报综述：Q3以来行业整体承压 继续看好龙头中长期配置价值
2021-11-09,新能源主线继续领跑，机构建议布局“跨年行情”,新能源主线继续领跑，机构建议布局“跨年行情”
2021-11-10,花房IPO背后：一场360和宋城演艺的资本局,花房IPO背后：一场360和宋城演艺的资本局
2021-11-15,依赖打赏的花房集团去年亏15亿，传播低俗内容多次被约谈 亏损,依赖打赏的花房集团去年亏15亿，传播低俗内容多次被约谈 亏损
2021-11-15,北向资金连续3日净买入累计加仓近160亿，中国中免获净买入超6亿元,北向资金连续3日净买入累计加仓近160亿，中国中免获净买入超6亿元
2021-11-17,餐饮旅游行业：新冠药刺激反弹 静待基本面拐点,餐饮旅游行业：新冠药刺激反弹 静待基本面拐点
2021-11-18,社会服务行业：云开雾散终有时 磨砻砥砺待月明,社会服务行业：云开雾散终有时 磨砻砥砺待月明
2021-11-21,社会服务行业周报：中免在港上市聆讯 餐饮社零数据环比改善,社会服务行业周报：中免在港上市聆讯 餐饮社零数据环比改善
2021-11-22,【国信社服|双周报19期】香港积极推进与内地通关，中国中免港股上市获批,【国信社服|双周报19期】香港积极推进与内地通关，中国中免港股上市获批
2021-11-22,消费者服务周报：疫情进入扫尾阶段 关注旅游酒店后续复苏,消费者服务周报：疫情进入扫尾阶段 关注旅游酒店后续复苏
2021-11-23,宋城演艺(300144)深度：行稳致远 演艺王国势渐起,宋城演艺(300144)深度：行稳致远 演艺王国势渐起
2021-11-29,社会服务行业周报：疫情影响行业调整 布局弹性标的,社会服务行业周报：疫情影响行业调整 布局弹性标的
2021-11-29,休闲服务行业周报：关注新冠变种病毒传播情况,休闲服务行业周报：关注新冠变种病毒传播情况
2021-11-29,休闲服务／商业贸易行业策略：围绕长期成长确定性及优质、修复标的布局,休闲服务／商业贸易行业策略：围绕长期成长确定性及优质、修复标的布局
2021-11-30,宋城演艺：目前在杭州、上海等项目已推出运用AR、VR、全息等技术的互动项目,宋城演艺：目前在杭州、上海等项目已推出运用AR、VR、全息等技术的互动项目
2021-11-30,宋城演艺：旗下已建成和在建的剧院座位数74个各类型剧院、175000个座位,宋城演艺：旗下已建成和在建的剧院座位数74个各类型剧院、175000个座位
2021-11-30,宋城演艺：实现了从“一个公园、一台戏、一张票”的千古情模式向“多剧院、多剧目、多票型”的演艺公园模式转变,宋城演艺：实现了从“一个公园、一台戏、一张票”的千古情模式向“多剧院、多剧目、多票型”的演艺公园模式转变
2021-11-30,宋城演艺：公司旗下已建成和在建的剧院座位数74个各类型剧院、17.5万个座位,宋城演艺：公司旗下已建成和在建的剧院座位数74个各类型剧院、17.5万个座位
2021-11-30,餐饮旅游行业周报：新型毒株扰动不必悲观 把握低位配置机会,餐饮旅游行业周报：新型毒株扰动不必悲观 把握低位配置机会
2021-12-01,休闲服务行业2022年上半年投资策略报告：疫情扰动不改长期逻辑 关注低位布局机会,休闲服务行业2022年上半年投资策略报告：疫情扰动不改长期逻辑 关注低位布局机会
2021-12-03,休闲服务2022年投资策略：文旅经济波动回暖 行业出清龙头凸显,休闲服务2022年投资策略：文旅经济波动回暖 行业出清龙头凸显
2021-12-04,社会服务行业2022年度投资策略：迎接复苏,社会服务行业2022年度投资策略：迎接复苏
2021-12-06,社会服务行业周报：中免暂停H股上市 凯撒众信重组终止 并购重组异常,社会服务行业周报：中免暂停H股上市 凯撒众信重组终止 并购重组异常
2021-12-06,深度*行业*社会服务行业周报：美兰机场二期正式投运 多地加快建设文旅业,深度*行业*社会服务行业周报：美兰机场二期正式投运 多地加快建设文旅业
2021-12-09,东方证券：对社服板块保持适当乐观,东方证券：对社服板块保持适当乐观
2021-12-15,宋城演艺：丽江和九寨项目的收入情况在公司年度报告中均有披露，丽江项目目前正常运营中,宋城演艺：丽江和九寨项目的收入情况在公司年度报告中均有披露，丽江项目目前正常运营中
